[01Mar2026 16:05:12.703] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.8-neoforge.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.707] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_additions-1.21.1-21.2.3.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.711] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_controle-1.21.1-1.6.13.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.715] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_creo-1.21.1-5.1.0.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.718] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_elemancy-1.21.1-1.11.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.722] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_elemental-1.21.1-0.7.6.10.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.730] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_nouveau-1.21.1-5.10.6.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.734] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_ocultas-1.21.1-2.2.0.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.738] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_technica-1.21.1-2.4.1.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.741] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ars_unification-1.2.16.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.745] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "arsdelight-2.1.9.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.747] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "arseng-2.1.1-beta.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.750] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "artifacts-neoforge-13.1.0.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.756] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "arts_and_crafts-neoforge-1.21.1-1.5.1.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.759] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "athena-neoforge-1.21-4.0.2.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.762] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "atlas_api-1.21.1-1.2.0.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.764] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "attributefix-neoforge-1.21.1-21.1.3.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.768] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AureljPaintings-1.0.4-1.21.x-neoforge.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.771] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AutochefsDelight-1.21.1-NeoForge-2.0.2.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.774] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "azurelib-neo-1.21.1-3.0.39.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.777] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "balm-neoforge-1.21.1-21.0.55.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.780] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bankstorage-1.6.1+1.21.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.783] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "barbequesdelight-1.2.2.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.785] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bcc-21.1.7+mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.789] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bellsandwhistles-0.4.7-1.21.1.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 16:05:12.792] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "better_modlist-1.1.20.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
