me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 54 misses in last 5s (428 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=749 avg_copy_batch=42 max_copy_batch=348 copy_dispatch_batches=758 avg_copy_dispatched_per_tick=42 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=80 result_copy_entries=186 result_scatter_entries=556 request_inflight_deferred=12 request_rerun_executed=10 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 58 misses in last 5s (486 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=13505856 remaining_bytes=53603008 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$SyncResults	Expanding scatter update buffer to 37200
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 54 misses in last 5s (540 unique IDs total, fallback model 1)
me.cx.vy.cn.wd.WorldSection	VOXY_PERF world_section_cache pool_size=21 allocations=146625 hits=144555 misses=2070 offers=144576 rejects=0 hit_pct=98.58
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1005 avg_copy_batch=69 max_copy_batch=424 copy_dispatch_batches=1067 avg_copy_dispatched_per_tick=65 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=198 result_copy_entries=6 result_scatter_entries=21 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ChunkBoundRenderer	Resizing chunk position buffer to: 6144
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 28 misses in last 5s (567 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=9504 remaining_bytes=67099360 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1123 avg_copy_batch=73 max_copy_batch=424 copy_dispatch_batches=1205 avg_copy_dispatched_per_tick=68 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=1146 avg_copy_batch=71 max_copy_batch=424 copy_dispatch_batches=1228 avg_copy_dispatched_per_tick=67 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=241 result_copy_entries=8 result_scatter_entries=16 request_inflight_deferred=12 request_rerun_executed=12 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
